city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,time_since_event,population_density
Manisa,1405864.0,133442,61652,71790,63822,69620,7,105.39500712197317
Afyonkarahisar,708627.0,58690,20592,38098,34597,24093,7,50.558433219178085
Kütahya,563769.0,39476,14440,25036,19314,20162,7,48.45874161939144
Uşak,356562.0,31883,12940,18943,16767,15116,7,64.18757875787578
Bursa,2910605.0,300965,142762,158203,138191,162774,7,269.17645426801073
Eskişehir,846667.0,103069,52548,50521,49402,53667,7,60.64949856733524
Bilecik,218514.0,21971,6737,15234,15024,6947,7,52.28858578607322
Kocaeli,1875332.0,175942,95516,80426,69449,106493,7,552.0553429496615
Sakarya,974628.0,89053,35487,53566,47920,41133,7,202.03731343283582
Düzce,373616.0,34317,15034,19283,14917,19400,7,149.92616372391655
Bolu,298260.0,24596,9269,15327,14972,9624,7,35.878744135691086
Yalova,238043.0,23188,9325,13863,11646,11542,7,298.2994987468672
Ankara,5360554.0,693886,383790,310096,261250,432636,7,209.1352215980025
Konya,2165192.0,200174,89577,110597,99492,100682,7,53.019050883980604
Karaman,244089.0,21046,7362,13684,10815,10231,7,28.127333486978568
Antalya,2306973.0,347773,179612,168161,137569,210204,7,114.33676958913614
Isparta,428378.0,42250,14823,27427,23853,18397,7,47.88486474401967
Burdur,262958.0,26092,9998,16094,14013,12079,7,36.649198606271774
Adana,2207079.0,237840,123504,114336,106004,131836,7,159.42494943657903
Mersin,1776547.0,233871,123814,110057,96997,136874,7,110.96483447845097
Hatay,1571426.0,144529,71004,73525,63931,80598,7,284.47248370745837
Kahramanmaraş,1120694.0,76437,29827,46610,40099,36338,7,77.18278236914601
Osmaniye,527174.0,40966,14047,26919,22811,18155,7,158.78734939759036
Kırıkkale,272262.0,24297,8261,16036,14629,9668,7,56.82780212899186
Aksaray,391924.0,36786,16958,19828,18576,18210,7,51.171693432562996
Niğde,350421.0,31842,10214,21628,19522,12320,7,48.44083494608792
Nevşehir,288151.0,27417,9751,17666,15777,11640,7,52.53436645396536
Kırşehir,225700.0,16940,5663,11277,11118,5822,7,34.28007290400972
Kayseri,1366684.0,121518,47614,73904,64008,57510,7,80.53529758397171
Sivas,616511.0,44134,14535,29599,28424,15710,7,21.89003692657293
Yozgat,410405.0,31669,11249,20420,20184,11485,7,29.97845142439737
Zonguldak,592416.0,43471,14529,28942,25462,18009,7,177.26391382405745
Karabük,238058.0,20625,6584,14041,13766,6859,7,57.47416706904877
Bartın,192711.0,15835,4958,10877,9566,6269,7,82.70858369098713
Kastamonu,367470.0,25340,9782,15558,14277,11063,7,28.128444580526637
Çankırı,181429.0,13112,4371,8741,7664,5448,7,24.055820737204986
Sinop,205305.0,13869,3444,10425,9379,4490,7,35.91131712436593
Samsun,1292069.0,118065,49116,68949,61534,56531,7,132.86056555269923
Tokat,596841.0,45009,15948,29061,26301,18708,7,59.4344752041426
Çorum,516468.0,35687,11973,23714,21027,14660,7,41.55680720952687
Amasya,327079.0,24400,7840,16560,14843,9557,7,58.11638237384506
Trabzon,778696.0,49266,19243,30023,28180,21086,7,168.25756266205704
Ordu,736155.0,51594,17840,33754,32285,19309,7,124.47666553939804
Giresun,432965.0,31191,9868,21323,19026,12165,7,62.10054503729202
Rize,329810.0,21662,7335,14327,13546,8116,7,86.0
Artvin,165622.0,13524,5150,8374,7006,6518,7,22.402542946030028
